"HCPCS Code","Modifier","Short Description","Mac Locality","Non-Facility Price","Facility Price","Non-Facility Limiting Charge","Facility Limiting Charge","GPCI Work","GPCI PE","GPCI MP","Proc Stat","Work RVU","NA Flag for Trans Non-FAC PE RVU","Transitioned Non-FAC PE RVU","NA Flag for Fully IMP Non-FAC PE RVU","Fully Implemented Non-FAC PE RVU","NA Flag for Trans facility PE RVU","Transitioned Facility PE RVU","NA Flag for Fully IMP FAC PE RVU","Fully Implemented Facility PE RVU","MP RVU","Transitioned Non-FAC Total","Transitioned Facility Total","Fully Implemented Non-Fac Total","Fully Implemented Facility Total","PCTC","Global","Pre Op","Intra Op","Post Op","Mult Surg","Bilt Surg","Asst Surg","Co Surg","Team Surg","Phys Supv","Endobase","Conv Fact","Not Used for Medicare","Diag Imaging Family Ind","Opps Non-Facility Payment Amount","Opps Facility Payment Amount","Non-Fac PE Used For Opps PMT AMT","Facility PE Used For Opps PMT AMT","Malpractice Used For Opps PMT AMT"
"95970","  ","Alys npgt w/o prgrmg","0350209","$18.37","$18.05","$20.07","$19.72","1.000","0.926","0.865","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0360221","$18.69","$18.35","$20.42","$20.05","1.000","1.000","0.790","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0411201","$19.05","$18.69","$20.81","$20.42","1.005","1.050","0.797","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0421205","$18.64","$18.34","$20.37","$20.03","1.000","0.902","1.169","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0431200","$18.05","$17.75","$19.72","$19.39","1.000","0.886","0.798","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0441209","$18.89","$18.54","$20.63","$20.26","1.023","1.014","0.673","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0441211","$18.88","$18.54","$20.63","$20.25","1.017","1.017","0.711","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0441215","$18.92","$18.58","$20.67","$20.30","1.023","1.013","0.703","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0441218","$19.55","$19.21","$21.36","$20.98","1.023","1.016","1.154","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0441220","$18.20","$17.89","$19.88","$19.54","1.000","0.924","0.749","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0441228","$18.73","$18.39","$20.46","$20.09","1.013","0.996","0.721","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0441231","$18.91","$18.56","$20.66","$20.27","1.000","1.053","0.727","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0441299","$18.36","$18.04","$20.06","$19.71","1.000","0.950","0.759","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0510200","$17.70","$17.39","$19.34","$19.00","1.000","0.910","0.441","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0520200","$17.76","$17.45","$19.40","$19.07","1.000","0.907","0.499","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0530201","$18.69","$18.36","$20.42","$20.06","1.000","0.964","0.941","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0530202","$18.62","$18.30","$20.34","$19.99","1.000","0.952","0.941","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
"95970","  ","Alys npgt w/o prgrmg","0530299","$18.01","$17.72","$19.67","$19.36","1.000","0.855","0.901","A","0.35","","0.17","","0.17","","0.16","","0.16","0.04","0.56","0.55","0.56","0.55","0","XXX","0.00","0.00","0.00","0","0","0","0","0","09","","33.8872","","99","NA","NA","0.00","0.00","0.00"
